cueanexo	provincia	departamento	localidad	nombre	ambito	sector_de_gestion	primaria	p_lengua_debajo_basico	p_lengua_basico	p_lengua_satisfactorio	p_lengua_avanzado	lon	lat
020182600	Ciudad de Buenos Aires	Comuna 6	CIUDAD DE BUENOS AIRES	INSTITUTO SAINT EXUPERY	Urbano	Privado	1	7.407407407	3.703703704	25.92592593	62.96296296	-58.4426	-34.6279
020183900	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	DEAN DIEGO ESTANISLADO DE ZAVALETA	Urbano	Estatal	1	12.51230215	44.40617109	34.73999199	8.341534766	-58.4046	-34.6501
020184000	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	ANTONIO J. BUCICH	Urbano	Estatal	1	10.86956522	17.39130435	52.17391304	19.56521739	-58.3675	-34.637
020185000	Ciudad de Buenos Aires	Comuna 15	CIUDAD DE BUENOS AIRES	SAN GREGORIO	Urbano	Privado	1	0	0	28.57142857	71.42857143	-58.4333	-34.5905
020186500	Ciudad de Buenos Aires	Comuna 5	CIUDAD DE BUENOS AIRES	INSTITUTO ALBERTO SCHWEITZER	Urbano	Privado	1	0	0	41.17647059	58.82352941	-58.4228	-34.6125
020186800	Ciudad de Buenos Aires	Comuna 2	CIUDAD DE BUENOS AIRES	COLEGIO NUEVOS RUMBOS	Urbano	Privado	1	5	0	25	70	-58.411	-34.597
020186900	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	INST. HANS CHRISTIAN ANDERSEN	Urbano	Privado	1	0	5.350241558	31.19565246	63.45410598	-58.4507	-34.569
020188300	Ciudad de Buenos Aires	Comuna 3	CIUDAD DE BUENOS AIRES	ESCUELA NUEVA ESPERANZA	Urbano	Privado	1	0	8.714285989	23.92857166	67.35714235	-58.4027	-34.6287
020188700	Ciudad de Buenos Aires	Comuna 7	CIUDAD DE BUENOS AIRES	ESCUELA DE FORMACION EDUCATIVA Y DEPORTIVA INFANTIL	Urbano	Privado	1	0	10	10	80	-58.4252	-34.635
020189200	Ciudad de Buenos Aires	Comuna 9	CIUDAD DE BUENOS AIRES	COLEGIO ARGENTINO BALDOMERO FERNANDEZ MORENO	Urbano	Privado	1	2.714932305	0	38.00904995	59.27601774	-58.5207	-34.6424
020189500	Ciudad de Buenos Aires	Comuna 7	CIUDAD DE BUENOS AIRES	COLEGIO LIMERIK	Urbano	Privado	1	0	7.142857143	51.78571429	41.07142857	-58.4606	-34.6354
020190500	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	MILENIO III	Urbano	Privado	1	0	26.66666667	26.66666667	46.66666667	-58.455	-34.5539
020190600	Ciudad de Buenos Aires	Comuna 9	CIUDAD DE BUENOS AIRES	CRECER Y SER	Urbano	Privado	1	0	0	20	80	-58.4792	-34.6566
020190700	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	E.S.B.A. LUGANO	Urbano	Privado	1	6.666666667	6.666666667	66.66666667	20	-58.4709	-34.6808
020191000	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	LOMAS DE NUÑEZ	Urbano	Privado	1	0	2.824133561	15.09260959	82.08325685	-58.4702	-34.5404
020195700	Ciudad de Buenos Aires	Comuna 14	CIUDAD DE BUENOS AIRES	FUNDACION PARALA EDUCACION EN VALORES HUMANOS ARMONIA	Urbano	Privado	1	0	19.04761905	9.523809524	71.42857143	-58.4223	-34.5815
020207400	Ciudad de Buenos Aires	Comuna 6	CIUDAD DE BUENOS AIRES	INST. CECILIA ANGELICA MC ALLISTER	Urbano	Privado	1	0	0	18.18181818	81.81818182	-58.431	-34.6207
020210100	Ciudad de Buenos Aires	Comuna 7	CIUDAD DE BUENOS AIRES	INSTITUTO ESBA FLORES	Urbano	Privado	1	0	14.28571429	23.80952381	61.9047619	-58.4659	-34.6313
020212700	Ciudad de Buenos Aires	Comuna 3	CIUDAD DE BUENOS AIRES	INSTITUTO ARGENTINO GALLEGO SANTIAGO APOSTOL	Urbano	Privado	1	5.405405405	5.405405405	27.02702703	62.16216216	-58.4032	-34.6093
